Location,Number of private cycles,Number of cycle hire bikes,Total cycles,lat,lng,geometry,LSOA11CD,LSOA11NM,accounting,airport,amusement park,aquarium,art gallery,atm,bakery,bank,bar,beauty salon,bicycle store,book store,bowling alley,bus station,cafe,campground,car dealer,car rental,car repair,car wash,casino,cemetery,church,city hall,clothing store,convenience store,courthouse,dentist,department store,doctor,drugstore,electrician,electronics store,embassy,fire station,florist,funeral home,furniture store,gas station,gym,hair care,hardware store,hindu temple,home goods store,hospital,insurance agency,jewelry store,laundry,lawyer,library,light rail station,liquor store,local government office,locksmith,lodging,meal delivery,meal takeaway,mosque,movie rental,movie theater,moving company,museum,night club,painter,park,parking,pet store,pharmacy,physiotherapist,plumber,police,post office,primary school,real estate agency,restaurant,roofing contractor,rv park,school,secondary school,shoe store,shopping mall,spa,stadium,storage,store,subway station,supermarket,synagogue,taxi stand,tourist attraction,train station,transit station,travel agency,university,veterinary care,zoo,person,bicycle,car,motorcycle,bus,train,truck,traffic light,fire hydrant,stop sign,parking meter,bench,dog
Albert Embankment (South of Salamanca Street),1470.375,162.25,1632.625,51.4903238,-0.1226315,POINT (-0.1226315 51.4903238),E01003109,Lambeth 003E,8,1,0,0,14,6,4,3,19,,,,,20,,,,,,,,,,0,,,,,,,,,,2,,,,,,9,,,,,0,,,4,,,,,,,,,,,,0,,3,9,,6,11,,,,,2,,,,32,,,15,,,0,,1,,,2,7,,,,4,37,,0,,0,1.0,,1.0,,,,1.0,,,,,,
Aldgate High Street,1592.75,159.75,1752.5,51.5140145,-0.0753219,POINT (-0.0753219 51.5140145),E01000005,City of London 001E,55,2,0,0,25,20,9,56,60,,,,,48,,,,,,,,,,14,,,,,,,,,,3,,,,,,26,,,,,1,,,4,,,,,,,,,,,,4,,5,10,,8,29,,,,,4,,,,60,,,20,,,11,,0,,,9,18,,,,7,49,,10,,0,14.0,1.0,16.0,,1.0,,,1.0,,,,,
Aldwych,1141.0,191.375,1332.375,51.5132258,-0.1173591,POINT (-0.1173591 51.5132258),E01004735,Westminster 018B,48,1,0,1,31,15,17,20,53,,,,,20,,,,,,,,,,3,,,,,,,,,,10,,,,,,15,,,,,0,,,2,,,,,,,,,,,,7,,11,10,,7,15,,,,,2,,,,60,,,20,,,13,,0,,,7,13,,,,6,32,,5,,0,21.0,,15.0,,4.0,,3.0,3.0,,,,,
Appold Street,764.125,84.75,848.875,51.5207216,-0.0818023,POINT (-0.0818023 51.5207216),E01032739,City of London 001F,60,3,0,0,49,23,10,56,60,,,,,53,,,,,,,,,,13,,,,,,,,,,2,,,,,,33,,,,,0,,,5,,,,,,,,,,,,6,,7,11,,3,31,,,,,4,,,,60,,,13,,,13,,0,,,9,22,,,,6,59,,6,,0,,3.0,5.0,,,,,3.0,,,,,
Arundel Street,203.75,41.25,245.0,51.5125289,-0.1143676,POINT (-0.1143676 51.5125289),E01004735,Westminster 018B,50,2,0,1,16,15,12,23,40,,,,,16,,,,,,,,,,4,,,,,,,,,,8,,,,,,12,,,,,0,,,2,,,,,,,,,,,,6,,11,10,,5,18,,,,,2,,,,60,,,17,,,7,,0,,,6,15,,,,3,29,,4,,0,16.0,,19.0,1.0,,,5.0,3.0,,,,,
Beech Street,1318.875,256.375,1575.25,51.5205484,-0.0948466,POINT (-0.0948466 51.5205484),E01000001,City of London 001A,40,1,0,0,11,23,4,50,36,,,,,30,,,,,,,,,,20,,,,,,,,,,1,,,,,,17,,,,,0,,,0,,,,,,,,,,,,4,,11,8,,9,26,,,,,2,,,,60,,,19,,,3,,0,,,9,21,,,,8,53,,3,,0,,,23.0,,,,,,,,,,
Belvedere Road,494.0,106.0,600.0,51.5036113,-0.1173103,POINT (-0.1173103 51.5036113),E01003013,Lambeth 036A,8,0,0,1,10,8,8,8,29,,,,,38,,,,,,,,,,0,,,,,,,,,,4,,,,,,7,,,,,2,,,2,,,,,,,,,,,,5,,2,2,,5,20,,,,,6,,,,60,,,11,,,5,,0,,,8,15,,,,8,37,,3,,0,2.0,1.0,6.0,,,,,,1.0,,,,
Berkeley Street,151.25,18.375,169.625,51.5082432,-0.1433151,POINT (-0.1433151 51.5082432),E01004761,Westminster 018D,53,2,1,0,60,7,9,32,52,,,,,16,,,,,,,,,,0,,,,,,,,,,14,,,,,,16,,,,,0,,,4,,,,,,,,,,,,6,,6,32,,18,26,,,,,1,,,,60,,,10,,,11,,0,,,6,10,,,,2,28,,5,,0,18.0,1.0,27.0,3.0,,,,,,1.0,,,
Bermonsey Street,537.5,33.125,570.625,51.5007926,-0.0818488,POINT (-0.0818488 51.5007926),E01032646,Southwark 003I,10,0,2,2,25,20,15,17,46,,,,,31,,,,,,,,,,12,,,,,,,,,,0,,,,,,11,,,,,1,,,5,,,,,,,,,,,,2,,7,1,,7,11,,,,,2,,,,60,,,11,,,2,,0,,,3,18,,,,1,50,,2,,0,14.0,,14.0,,,,2.0,,,,,,
Berners Street,139.5,19.5,159.0,51.5171297,-0.1366273,POINT (-0.1366273 51.5171297),E01004763,Westminster 013B,60,0,1,2,20,16,28,36,60,,,,,33,,,,,,,,,,0,,,,,,,,,,10,,,,,,23,,,,,0,,,7,,,,,,,,,,,,17,,9,32,,9,35,,,,,2,,,,60,,,29,,,9,,1,,,8,17,,,,5,38,,12,,0,6.0,,8.0,1.0,,,1.0,1.0,,,,,
Bevis Marks,386.25,58.25,444.5,51.5149159,-0.0790581,POINT (-0.0790581 51.5149159),E01032739,City of London 001F,0,2,0,0,20,19,13,60,60,,,,,49,,,,,,,,,,16,,,,,,,,,,2,,,,,,20,,,,,1,,,4,,,,,,,,,,,,5,,4,12,,6,25,,,,,4,,,,60,,,13,,,0,,0,,,13,20,,,,9,59,,10,,0,1.0,,6.0,,,,1.0,,,1.0,,,
Birdcage Walk,1147.625,204.375,1352.0,51.5008415,-0.1349012,POINT (-0.1349012 51.5008415),E01004731,Westminster 020A,11,2,0,0,14,10,6,14,19,,,,,28,,,,,,,,,,6,,,,,,,,,,13,,,,,,10,,,,,0,,,4,,,,,,,,,,,,3,,7,3,,13,17,,,,,5,,,,58,,,9,,,7,,0,,,5,14,,,,4,34,,1,,0,1.0,,2.0,,,,,,,,,1.0,
Bishopsgate,2316.25,201.0,2517.25,51.5167977,-0.0810585,POINT (-0.0810585 51.5167977),E01032739,City of London 001F,60,3,0,0,18,23,10,60,60,,,,,40,,,,,,,,,,16,,,,,,,,,,1,,,,,,33,,,,,0,,,2,,,,,,,,,,,,4,,5,15,,3,27,,,,,5,,,,60,,,14,,,15,,0,,,12,24,,,,13,59,,10,,0,28.0,,3.0,,1.0,,,3.0,,,,,
Black Prince Road (east of Gibson Street),582.625,73.375,656.0,51.4907778,-0.1165276,POINT (-0.1165276 51.4907778),E01003112,Lambeth 002E,0,1,0,0,12,7,5,2,17,,,,,19,,,,,,,,,,0,,,,,,,,,,0,,,,,,6,,,,,0,,,6,,,,,,,,,,,,0,,3,10,,7,11,,,,,3,,,,30,,,18,,,0,,0,,,1,8,,,,2,35,,0,,0,1.0,1.0,,,,,3.0,,,,,,
Blackfriars Bridge,4189.125,752.75,4941.875,51.5072178,-0.1275862,POINT (-0.1275862 51.5072178),E01004736,Westminster 018C,26,1,1,1,33,13,20,26,60,,,,,28,,,,,,,,,,0,,,,,,,,,,15,,,,,,13,,,,,0,,,1,,,,,,,,,,,,18,,7,17,,10,13,,,,,4,,,,60,,,15,,,9,,0,,,6,15,,,,5,34,,2,,0,,,,,,,,,,,,,
Blackfriars Road,1701.875,119.625,1821.5,51.5034713,-0.1045305,POINT (-0.1045305 51.5034713),E01032583,Southwark 034D,11,1,0,0,17,12,8,6,20,,,,,45,,,,,,,,,,1,,,,,,,,,,1,,,,,,15,,,,,0,,,6,,,,,,,,,,,,4,,1,2,,7,14,,,,,2,,,,60,,,18,,,2,,0,,,5,21,,,,7,50,,4,,0,23.0,,14.0,,,,3.0,2.0,,,,,
Blackfriars Road (Southwark station),2332.125,209.25,2541.375,51.503926,-0.1049685,POINT (-0.1049685 51.503926),E01032583,Southwark 034D,10,1,0,0,18,10,8,6,27,,,,,39,,,,,,,,,,1,,,,,,,,,,1,,,,,,15,,,,,0,,,6,,,,,,,,,,,,4,,1,3,,7,17,,,,,2,,,,0,,,15,,,2,,0,,,5,20,,,,6,50,,4,,0,31.0,,9.0,,,,1.0,2.0,,,,,
Bloomsbury Street,742.75,78.875,821.625,51.5179545,-0.1277289,POINT (-0.1277289 51.5179545),E01000855,Camden 028A,56,0,1,1,40,16,29,29,60,,,,,37,,,,,,,,,,1,,,,,,,,,,5,,,,,,17,,,,,7,,,8,,,,,,,,,,,,19,,14,18,,10,27,,,,,4,,,,60,,,18,,,13,,1,,,9,19,,,,5,39,,12,,0,17.0,,8.0,6.0,,,4.0,3.0,,,,,
