Site ID,Location,Number of private cycles,Number of cycle hire bikes,Total cycles,Easting,Northing,lat,lng,geometry,LSOA11CD,LSOA11NM,accounting,airport,amusement park,aquarium,art gallery,atm,bakery,bank,bar,beauty salon,bicycle store,book store,bowling alley,bus station,cafe,campground,car dealer,car rental,car repair,car wash,casino,cemetery,church,city hall,clothing store,convenience store,courthouse,dentist,department store,doctor,drugstore,electrician,electronics store,embassy,fire station,florist,funeral home,furniture store,gas station,gym,hair care,hardware store,hindu temple,home goods store,hospital,insurance agency,jewelry store,laundry,lawyer,library,light rail station,liquor store,local government office,locksmith,lodging,meal delivery,meal takeaway,mosque,movie rental,movie theater,moving company,museum,night club,painter,park,parking,pet store,pharmacy,physiotherapist,plumber,police,post office,primary school,real estate agency,restaurant,roofing contractor,rv park,school,secondary school,shoe store,shopping mall,spa,stadium,storage,store,subway station,supermarket,synagogue,taxi stand,tourist attraction,train station,transit station,travel agency,university,veterinary care,zoo,person,bicycle,car,motorcycle,bus,train,truck,traffic light,fire hydrant,stop sign,parking meter,bench,dog
INNCY001,Grove Road,898.0,29.5,927.5,536005.2346,183224.9317,51.53155876,-0.040640409,POINT (-0.0406404089449611 51.53155875667294),E01004234,Tower Hamlets 003E,4,,,,,,,1,6,,,,,28,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,,,,,0,,1,0,,9,3,,,,,,,,,27,,,10,,,0,,,,,,5,,,,1,30,,0,,,,,,,,,,,,,,,
INNCY002,Lea Bridge Road,1374.0,0.5,1374.5,535642.254,186677.1935,51.56266855,-0.044540406,POINT (-0.0445404060729519 51.56266855287201),E01004422,Waltham Forest 022A,0,,,,,,,0,0,,,,,18,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,0,,0,2,,5,6,,,,,,,,,0,,,5,,,0,,,,,,0,,,,1,25,,0,,,6.0,,12.0,,3.0,,3.0,1.0,,,,1.0,
INNCY003,Burdett Road (south of Limehouse Cut),688.0,53.0,741.0,536945.0,181263.0,51.5137017,-0.027862524,POINT (-0.0278625244271789 51.51370170197896),E01004252,Tower Hamlets 024A,2,,,,,,,3,5,,,,,25,,,,,,,,,,1,,,,,,,,,,,,,,,,9,,,,,,,,5,,,,,,,,,,,,1,,4,0,,9,4,,,,,,,,,25,,,18,,,0,,,,,,8,,,,2,35,,1,,,4.0,,16.0,,1.0,,3.0,1.0,,,,,
INNCY003,Burdett Road (south of Limehouse Cut),688.0,53.0,741.0,536945.0,181263.0,51.5137017,-0.027862524,POINT (-0.0278625244271789 51.51370170197896),E01004252,Tower Hamlets 024A,2,,,,,,,3,5,,,,,25,,,,,,,,,,1,,,,,,,,,,,,,,,,9,,,,,,,,5,,,,,,,,,,,,1,,4,0,,9,4,,,,,,,,,25,,,18,,,0,,,,,,8,,,,2,35,,1,,,4.0,,16.0,,1.0,,3.0,1.0,,,,,
INNCY004,Seven Sisters Road (Finsbury Park),1239.0,15.0,1254.0,531355.3829,186695.0883,51.56384317,-0.106341679,POINT (-0.1063416792390218 51.56384316910162),E01002734,Islington 005B,8,,,,,,,8,16,,,,,29,,,,,,,,,,0,,,,,,,,,,,,,,,,5,,,,,,,,3,,,,,,,,,,,,1,,1,2,,5,12,,,,,,,,,60,,,14,,,3,,,,,,17,,,,2,36,,1,,,4.0,,23.0,,1.0,,7.0,,,,,,
INNCY005,Seven Sisters Road,582.5,4.0,586.5,532769.8561,188001.3644,51.57525089,-0.085454269,POINT (-0.0854542685766711 51.57525088842365),E01002056,Haringey 032C,5,,,,,,,2,2,,,,,29,,,,,,,,,,0,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,,,,,0,,0,2,,4,0,,,,,,,,,6,,,17,,,0,,,,,,11,,,,2,27,,0,,,,,11.0,,1.0,,1.0,,,,,,
INNCY006,Hornsey Rise,505.0,1.0,506.0,530080.34,187472.06,51.57112071,-0.124438629,POINT (-0.1244386285230951 51.5711207147171),E01002758,Islington 001C,4,,,,,,,3,3,,,,,32,,,,,,,,,,0,,,,,,,,,,,,,,,,6,,,,,,,,3,,,,,,,,,,,,0,,0,3,,10,0,,,,,,,,,18,,,16,,,0,,,,,,11,,,,1,40,,0,,,2.0,1.0,6.0,,,,,,,,,,
INNCY007,York Way,395.0,12.0,407.0,530305.0611,183746.5623,51.53758952,-0.122576999,POINT (-0.1225769989577854 51.53758951655661),E01002709,Islington 019C,7,,,,,,,6,20,,,,,20,,,,,,,,,,1,,,,,,,,,,,,,,,,6,,,,,,,,5,,,,,,,,,,,,2,,2,3,,9,8,,,,,,,,,53,,,15,,,3,,,,,,13,,,,4,29,,1,,,1.0,,3.0,,,,1.0,,,,,,
INNCY008,Well Street,624.5,13.5,638.0,535194.877,184187.5961,51.5404039,-0.051946511,POINT (-0.0519465113358448 51.540403901612535),E01001840,Hackney 022B,4,,,,,,,6,17,,,,,38,,,,,,,,,,3,,,,,,,,,,,,,,,,5,,,,,,,,2,,,,,,,,,,,,1,,3,2,,5,4,,,,,,,,,59,,,10,,,1,,,,,,17,,,,4,50,,1,,,1.0,,20.0,,,,,,,1.0,,,
INNCY009,Hackney Road,1054.0,40.0,1094.0,534597.9428,183233.2893,51.53197079,-0.060913221,POINT (-0.0609132206509826 51.53197079090984),E01004202,Tower Hamlets 005B,5,,,,,,,7,16,,,,,31,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,5,,,,,,,,,,,,0,,4,4,,9,2,,,,,,,,,53,,,24,,,2,,,,,,15,,,,2,40,,0,,,3.0,,15.0,,3.0,1.0,,,,,,,
INNCY010,Tower Bridge,2479.0,196.0,2675.0,533697.7553,180336.7584,51.50615523,-0.074981079,POINT (-0.0749810785935671 51.50615522721505),0,0,14,,,,,,,10,48,,,,,27,,,,,,,,,,14,,,,,,,,,,,,,,,,15,,,,,,,,2,,,,,,,,,,,,0,,8,1,,8,17,,,,,,,,,60,,,8,,,4,,,,,,10,,,,5,19,,2,,,51.0,,,,,,,,,,,3.0,
INNCY011,Westferry Road,746.0,45.0,791.0,537205.0312,179057.2546,51.4938176,-0.02497482,POINT (-0.0249748202666481 51.49381759982517),E01004280,Tower Hamlets 032A,6,,,,,,,4,4,,,,,17,,,,,,,,,,0,,,,,,,,,,,,,,,,4,,,,,,,,5,,,,,,,,,,,,0,,0,1,,4,5,,,,,,,,,13,,,9,,,0,,,,,,9,,,,3,26,,2,,,2.0,,,,,,,3.0,,,,,
INNCY012,Dulwich Road,373.5,11.0,384.5,531402.792,174615.1462,51.45527522,-0.110155735,POINT (-0.1101557351989022 51.45527521798101),E01003074,Lambeth 018E,7,,,,,,,9,24,,,,,38,,,,,,,,,,1,,,,,,,,,,,,,,,,4,,,,,,,,4,,,,,,,,,,,,1,,2,3,,5,9,,,,,,,,,32,,,12,,,0,,,,,,9,,,,1,39,,0,,,1.0,,23.0,,,,,,,1.0,,,1.0
INNCY013,Old Kent Road (New Cross Gate),570.5,2.0,572.5,535246.8456,177292.7197,51.47843237,-0.053839841,POINT (-0.0538398406583292 51.47843236959587),E01003302,Lewisham 003D,4,,,,,,,3,5,,,,,26,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,0,,0,1,,5,0,,,,,,,,,27,,,9,,,2,,,,,,8,,,,2,31,,0,,,,,12.0,,,,6.0,,,,,,
INNCY014,New Cross Road,672.0,1.0,673.0,537067.2892,176982.7385,51.47520906,-0.027762245,POINT (-0.0277622452127279 51.47520905665191),E01003304,Lewisham 039D,11,,,,,,,4,28,,,,,40,,,,,,,,,,0,,,,,,,,,,,,,,,,6,,,,,,,,5,,,,,,,,,,,,1,,1,3,,8,7,,,,,,,,,54,,,15,,,0,,,,,,19,,,,4,44,,3,,,13.0,,15.0,,2.0,,3.0,1.0,,,,,
INNCY015,Streatham High Road,457.5,5.0,462.5,530230.2042,172489.7046,51.43644511,-0.127804062,POINT (-0.1278040615281439 51.43644511438318),E01003117,Lambeth 029B,9,,,,,,,9,11,,,,,34,,,,,,,,,,0,,,,,,,,,,,,,,,,4,,,,,,,,4,,,,,,,,,,,,1,,0,1,,1,12,,,,,,,,,37,,,12,,,0,,,,,,13,,,,1,35,,1,,,16.0,,12.0,,2.0,,,,1.0,,,1.0,
INNCY016,Brixton Hill,1114.5,6.0,1120.5,530770.0166,174613.6666,51.4554083,-0.119258313,POINT (-0.1192583126717703 51.45540829820901),E01003018,Lambeth 020A,8,,,,,,,7,17,,,,,31,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,6,,,,,,,,,,,,1,,2,2,,3,10,,,,,,,,,30,,,6,,,0,,,,,,10,,,,0,34,,0,,,1.0,,12.0,,,,1.0,,,,,,
