Site ID,Location,Total cycles,Easting,Northing,lat,lng,geometry,LSOA11CD,LSOA11NM,accounting,airport,amusement park,aquarium,art gallery,atm,bakery,bank,bar,beauty salon,bicycle store,book store,bowling alley,bus station,cafe,campground,car dealer,car rental,car repair,car wash,casino,cemetery,church,city hall,clothing store,convenience store,courthouse,dentist,department store,doctor,drugstore,electrician,electronics store,embassy,fire station,florist,funeral home,furniture store,gas station,gym,hair care,hardware store,hindu temple,home goods store,hospital,insurance agency,jewelry store,laundry,lawyer,library,light rail station,liquor store,local government office,locksmith,lodging,meal delivery,meal takeaway,mosque,movie rental,movie theater,moving company,museum,night club,painter,park,parking,pet store,pharmacy,physiotherapist,plumber,police,post office,primary school,real estate agency,restaurant,roofing contractor,rv park,school,secondary school,shoe store,shopping mall,spa,stadium,storage,store,subway station,supermarket,synagogue,taxi stand,tourist attraction,train station,transit station,travel agency,university,veterinary care,zoo,person,bicycle,car,motorcycle,bus,train,truck,traffic light,fire hydrant,stop sign,parking meter,bench,dog
OUTCY001,High Road Leyton,283.5,538032.2664,186597.9861,51.56137746,-0.010113954,POINT (-0.010113954228738 51.56137745892148),E01004375,Waltham Forest 025D,15,,,,,,,3,7,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,5,,,,,,,,,,,,,,0,0,,2,2,,,,,,,,,18,,,10,,,2,,,,,,11,,,,1,31,,0,,,2.0,,10.0,,1.0,,,,,,,,
OUTCY002,High Road Woodford Green,137.5,540222.369,192346.2507,51.61249003,0.023754011,POINT (0.0237540113560592 51.61249002827173),E01003746,Redbridge 001C,6,,,,,,,1,4,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,0,0,,0,1,,,,,,,,,12,,,9,,,0,,,,,,1,,,,2,12,,0,,,,,24.0,,,,,1.0,,,,,
OUTCY003,Wood Lane,136.5,549195.84,186902.1291,51.56127029,0.15094536,POINT (0.1509453596279197 51.561270291288885),E01000061,Barking and Dagenham 006C,3,,,,,,,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,0,0,,1,2,,,,,,,,,11,,,12,,,0,,,,,,7,,,,0,20,,1,,,,,18.0,,1.0,,2.0,,,,,,
OUTCY004,London Road,99.5,549109.9512,188238.8864,51.57330378,0.150273934,POINT (0.1502739339977588 51.57330378314518),E01002250,Havering 017E,9,,,,,,,0,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,,9,,,6,,,1,,,,,,4,,,,0,12,,1,,,,,27.0,,,,1.0,,,,,,
OUTCY005,Nags Head Road,51.5,535646.525,196128.658,51.64759887,-0.040826041,POINT (-0.0408260414561462 51.64759887125628),E01001509,Enfield 014C,8,,,,,,,2,4,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,0,1,,3,6,,,,,,,,,19,,,11,,,0,,,,,,10,,,,3,36,,0,,,1.0,,16.0,,3.0,,,,,,,,
OUTCY006,Romford Road,570.0,539826.5813,184748.2656,51.54431463,0.015019369,POINT (0.0150193690381272 51.544314632226325),E01003553,Newham 009B,16,,,,,,,4,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,0,2,,8,1,,,,,,,,,32,,,17,,,1,,,,,,14,,,,3,30,,1,,,11.0,,25.0,,,,3.0,,,,,,
OUTCY007,Walthamstow Avenue (North Circular Road),82.0,536880.7117,191479.2689,51.60552103,-0.024814545,POINT (-0.0248145450918051 51.60552102694003),E01004455,Waltham Forest 006D,2,,,,,,,0,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,0,0,,1,3,,,,,,,,,6,,,6,,,0,,,,,,8,,,,0,32,,0,,,,,6.0,,,,,,,,,,
OUTCY008,Romford Road,35.5,548028.0178,191638.5033,51.60413448,0.136105769,POINT (0.136105769467235 51.60413447502438),E01003726,Redbridge 002D,0,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,0,0,,1,0,,,,,,,,,2,,,0,,,0,,,,,,0,,,,0,5,,0,,,,,8.0,,,,1.0,,,,,,
OUTCY009,High Road,493.0,533804.2485,189978.3185,51.59277191,-0.06978376,POINT (-0.0697837599263378 51.59277191382325),E01001979,Haringey 011D,17,,,,,,,5,8,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,4,,,,,,,,5,,,,,,,,,,,,,,1,2,,2,6,,,,,,,,,31,,,15,,,1,,,,,,17,,,,3,38,,2,,,33.0,,22.0,,2.0,,1.0,3.0,,,,,
OUTCY010,Barking Road,229.5,542664.8611,183589.7672,51.5331951,0.055452506,POINT (0.0554525061719198 51.53319510074025),E01003523,Newham 024A,16,,,,,,,10,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,6,,,,,,,,,,,,,,0,0,,5,1,,,,,,,,,40,,,11,,,1,,,,,,10,,,,2,39,,1,,,4.0,,31.0,,,,1.0,,,,,,
